response_id,respondent,submitted_at,q1_s1,q2_s1,q3_s1,q4_s1
68324cd1770dac8ded4c2542,68324cd1770dac8ded4c2518,2025-05-24T22:48:49.996000,B,4,Y,Interesting questions.
68324cd1770dac8ded4c2534,68324cd1770dac8ded4c2518,2025-05-24T22:48:49.990000,A,4,Y;Z,Nice work!
68324cd1770dac8ded4c252a,68324cd1770dac8ded4c2518,2025-05-24T22:48:49.986000,C,5,X,Interesting questions.
68324cd1770dac8ded4c2547,68324cd1770dac8ded4c2518,2025-05-23T22:48:49.999000,A,1,X,Very thorough.
68324cd1770dac8ded4c2545,68324cd1770dac8ded4c2518,2025-05-23T22:48:49.998000,C,2,X;Z,Nice work!
68324cd1770dac8ded4c2543,68324cd1770dac8ded4c2518,2025-05-23T22:48:49.997000,B,5,Z,Could be better.
68324cd1770dac8ded4c253f,68324cd1770dac8ded4c2518,2025-05-23T22:48:49.995000,C,4,X;Y;Z,Nice work!
68324cd1770dac8ded4c2529,68324cd1770dac8ded4c2518,2025-05-23T22:48:49.986000,C,3,X;Y;Z,Very thorough.
68324cd1770dac8ded4c251c,68324cd1770dac8ded4c2518,2025-05-23T22:48:49.974000,C,2,X;Z,Great survey!
68324cd2770dac8ded4c254d,68324cd1770dac8ded4c2518,2025-05-22T22:48:50.001000,C,1,X;Z,Could be better.
68324cd1770dac8ded4c2541,68324cd1770dac8ded4c2518,2025-05-22T22:48:49.996000,C,2,X;Y;Z,Could be better.
68324cd1770dac8ded4c253e,68324cd1770dac8ded4c2518,2025-05-22T22:48:49.994000,B,1,X;Z,Great survey!
68324cd1770dac8ded4c253b,68324cd1770dac8ded4c2518,2025-05-22T22:48:49.993000,A,4,Z,Interesting questions.
68324cd1770dac8ded4c253a,68324cd1770dac8ded4c2518,2025-05-22T22:48:49.993000,C,5,Z,Could be better.
68324cd1770dac8ded4c2525,68324cd1770dac8ded4c2518,2025-05-22T22:48:49.983000,B,4,X;Y;Z,Could be better.
68324cd2770dac8ded4c254c,68324cd1770dac8ded4c2518,2025-05-21T22:48:50.001000,C,5,X;Z,Great survey!
68324cd1770dac8ded4c253d,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.994000,C,2,Y,Could be better.
68324cd1770dac8ded4c253c,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.993000,A,5,Y,Great survey!
68324cd1770dac8ded4c2538,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.992000,A,4,X;Y,Nice work!
68324cd1770dac8ded4c2536,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.991000,C,2,Y,Nice work!
68324cd1770dac8ded4c2531,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.989000,C,1,Z,Great survey!
68324cd1770dac8ded4c2532,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.989000,B,3,X,Very thorough.
68324cd1770dac8ded4c252e,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.988000,B,1,X;Z,Nice work!
68324cd1770dac8ded4c2530,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.988000,A,5,Y,Great survey!
68324cd1770dac8ded4c2527,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.984000,C,2,X,Could be better.
68324cd1770dac8ded4c2528,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.984000,C,3,X;Z,Interesting questions.
68324cd1770dac8ded4c2524,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.983000,B,4,Y;Z,Interesting questions.
68324cd1770dac8ded4c2523,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.982000,A,5,Y,Nice work!
68324cd1770dac8ded4c251f,68324cd1770dac8ded4c2518,2025-05-21T22:48:49.975000,A,4,X,Could be better.
68324cd2770dac8ded4c254b,68324cd1770dac8ded4c2518,2025-05-20T22:48:50,C,1,X;Z,Could be better.
68324cd1770dac8ded4c2548,68324cd1770dac8ded4c2518,2025-05-20T22:48:49.999000,C,4,X;Z,Could be better.
68324cd1770dac8ded4c2537,68324cd1770dac8ded4c2518,2025-05-20T22:48:49.991000,A,4,X;Y;Z,Interesting questions.
68324cd1770dac8ded4c2535,68324cd1770dac8ded4c2518,2025-05-20T22:48:49.990000,B,4,Y;Z,Great survey!
68324cd2770dac8ded4c254e,68324cd1770dac8ded4c2518,2025-05-19T22:48:50.002000,C,1,X,Great survey!
68324cd1770dac8ded4c2544,68324cd1770dac8ded4c2518,2025-05-19T22:48:49.998000,B,2,Z,Nice work!
68324cd1770dac8ded4c252d,68324cd1770dac8ded4c2518,2025-05-19T22:48:49.987000,A,5,Z,Great survey!
68324cd1770dac8ded4c2521,68324cd1770dac8ded4c2518,2025-05-19T22:48:49.978000,A,5,Y,Very thorough.
68324cd2770dac8ded4c254a,68324cd1770dac8ded4c2518,2025-05-18T22:48:50,B,2,X;Z,Interesting questions.
68324cd2770dac8ded4c2549,68324cd1770dac8ded4c2518,2025-05-18T22:48:50,C,1,Y;Z,Nice work!
68324cd1770dac8ded4c2546,68324cd1770dac8ded4c2518,2025-05-18T22:48:49.999000,C,5,X;Y;Z,Could be better.
68324cd1770dac8ded4c2540,68324cd1770dac8ded4c2518,2025-05-18T22:48:49.995000,B,3,X;Z,Very thorough.
68324cd1770dac8ded4c2533,68324cd1770dac8ded4c2518,2025-05-18T22:48:49.989000,C,2,Z,Very thorough.
68324cd1770dac8ded4c252f,68324cd1770dac8ded4c2518,2025-05-18T22:48:49.988000,C,1,X;Z,Could be better.
68324cd1770dac8ded4c252b,68324cd1770dac8ded4c2518,2025-05-18T22:48:49.987000,B,2,X,Very thorough.
68324cd1770dac8ded4c2522,68324cd1770dac8ded4c2518,2025-05-18T22:48:49.981000,C,3,Y,Nice work!
68324cd1770dac8ded4c251e,68324cd1770dac8ded4c2518,2025-05-18T22:48:49.975000,C,5,X;Y;Z,Nice work!
68324cd1770dac8ded4c251d,68324cd1770dac8ded4c2518,2025-05-18T22:48:49.974000,A,1,X;Y,Great survey!
68324cd1770dac8ded4c2539,68324cd1770dac8ded4c2518,2025-05-17T22:48:49.992000,B,2,X;Y;Z,Great survey!
68324cd1770dac8ded4c252c,68324cd1770dac8ded4c2518,2025-05-17T22:48:49.987000,B,4,Z,Very thorough.
68324cd1770dac8ded4c2526,68324cd1770dac8ded4c2518,2025-05-17T22:48:49.983000,B,4,Y,Great survey!
68324cd1770dac8ded4c2520,68324cd1770dac8ded4c2518,2025-05-17T22:48:49.976000,A,1,Y;Z,Very thorough.
